No,判定,締切,残日数,補助金_公募名,対象地域,従業員条件,上限額円,判定理由,理由区分,JグランツID,URL
16,△,2026-09-11 12:00,7.2,「特定半導体生産施設整備に係る建設工事の現状及び国内投資促進に向けた課題に関する調査・分析事業」の公募,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDe3bMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe3bMAD
17,△,2026-09-11 16:45,7.4,【令和８年度】経営力強化に向けた創意工夫チャレンジ促進事業(飲食事業者向け経営基盤強化支援（受動喫煙防止対策支援コース）)助成金,東京都,従業員数の制約なし,4000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDWngMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDWngMAH
18,×,2026-09-11 23:59,7.7,令和８年度医療機関診療情報サイバーセキュリティ対策支援事業,東京都,従業員数の制約なし,0,医療機関等向け,対象者,a0WJ200000CDXuqMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXuqMAH
19,△,2026-09-11 23:59,7.7,令和８年度障害者施設等物価高騰緊急対策事業,東京都,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdNtMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdNtMAL
20,△,2026-09-14 15:00,10.3,令和８年度 脱炭素成長型経済構造移行推進対策費補助金（自律型資源 循環システム強靱化促進事業）（事前着手届出）【一次公募】,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDd5SMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDd5SMAT
21,△,2026-09-14 15:00,10.3,令和８年度 脱炭素成長型経済構造移行推進対策費補助金（自律型資源循環システム強靱化促進事業）,全国,従業員数の制約なし,20000000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYlTMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYlTMAX
22,△,2026-09-14 16:00,10.4,令和８年度展示会出展助成事業,東京都,従業員数の制約なし,1500000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXkTMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXkTMAX
23,△,2026-09-14 16:00,10.4,経営力強化に向けた創意工夫チャレンジ促進事業助成金（賃上げ重点コース）【令和8年度第2回】,茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 山梨県,従業員数の制約なし,6000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDe6iMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6iMAD
24,×,2026-09-14 17:00,10.4,【埼玉県】令和8年度 企業等における省エネ・再エネ活用設備導入補助金,埼玉県,従業員数の制約なし,0,対象地域が埼玉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYUSMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYUSMA5
25,△,2026-09-14 17:00,10.4,交通システムの省CO2 化に向けた設備整備事業（鉄道事業等におけるネットワーク型低炭素化促進事業）（二次公募）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDO8eMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDO8eMAH
26,△,2026-09-14 23:59,10.7,女性の活躍推進に向けた職場環境改善奨励金　撤回届,東京都,300名以下,1800000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDaTEMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaTEMA1
27,△,2026-09-14 23:59,10.7,女性活躍情報公開促進奨励金　撤回届,東京都,100名以下,200000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDaTGMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaTGMA1
28,○,2026-09-15 16:00,11.4,【応募事業者】令和８年度 プラスチック等資源循環システム構築実証事業　＜三次公募＞,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 山梨県 / 長野県 / 富山県 / 石川県 / 福井県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 / 和歌山県 / 鳥取県 / 島根県 / 岡山県 / 広島県 / 山口県 / 徳島県 / 香川県 / 愛媛県 / 高知県 / 福岡県 / 佐賀県 / 長崎県 / 熊本県 / 大分県 / 宮崎県 / 鹿児島県 / 沖縄県,従業員数の制約なし,0,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDdqyMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdqyMAD
29,△,2026-09-15 23:45,11.7,東京都認定制度を活用した医師少数区域における勤務の推進事業補助金,東京都,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W5h00000UcWryEAF,https://www.jgrants-portal.go.jp/subsidy/a0W5h00000UcWryEAF
30,×,2026-09-16 17:00,12.4,2026年度「中小企業競争力強化促進事業業」（マーケティング支援事業）［2次募集］,北海道,300名以下,2000000,対象地域が北海道で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYmSMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYmSMAX
31,△,2026-09-16 17:00,12.4,令和８年度 第２回 事業承継支援助成金,東京都,300名以下,2000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdauMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdauMAD
32,△,2026-09-18 12:00,14.2,重要経済安保情報保護活用民間企業等情報保全施設導入支援補助金（令和８年度第２回公募）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeUbMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeUbMAL
33,△,2026-09-18 17:00,14.4,【令和７年度】二酸化炭素排出抑制対策事業費等補助金（水インフラにおける脱炭素化推進事業）［四次公募］,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDb6JMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDb6JMAT
34,△,2026-09-18 17:00,14.4,令和７年度補正　米粉商品開発等支援対策事業　2次募集,全国,従業員数の制約なし,30950204,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDe8MMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe8MMAT
35,△,2026-09-18 17:00,14.4,令和８年度　熱利活用事業（単年度事業分）　第３次公募　【　廃棄物処理施設を核とした地域循環共生圏構築促進事業　】,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdmfMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdmfMAD
36,△,2026-09-18 17:00,14.4,令和８年度　電力利活用事業（単年度事業分）　第３次公募　【　廃棄物処理施設を核とした地域循環共生圏構築促進事業　】,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdmVMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdmVMAT
37,△,2026-09-18 17:00,14.4,令和８年度　ＦＳ調査事業　第３次公募　【　廃棄物処理施設を核とした地域循環共生圏構築促進事業　】,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdmpMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdmpMAD
38,△,2026-09-24 23:59,20.7,【二次公募】令和８年度　天然ガス利用設備による強靱性向上対策事業費補助金,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeXgMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeXgMAL
39,△,2026-09-25 00:00,20.7,東京都専門医認定支援事業補助金,東京都,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W5h00000UcWrwEAF,https://www.jgrants-portal.go.jp/subsidy/a0W5h00000UcWrwEAF
40,△,2026-09-25 12:00,21.2,①省CO2型プラスチック高度リサイクル設備導入事業（バリューチェーン）【令和７年度（補正予算）４次公募及び令和８年度３次公募】,全国,従業員数の制約なし,7297000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYiwMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYiwMAH
41,△,2026-09-25 12:00,21.2,②化石資源由来プラスチックを代替する再生可能資源由来素材 の省CO2型製造設備導入事業（バリューチェーン）【令和７年度（補正予算）第４次公募及び令和８年度第３次公募】,全国,従業員数の制約なし,7297000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYjRMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYjRMAX
42,△,2026-09-25 12:00,21.2,③太陽光パネルリサイクル設備導入事業（バリューチェーン）【令和７年度（補正予算）第４次公募及び令和８年度第３次公募】,全国,従業員数の制約なし,7297000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYkCMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYkCMAX
43,△,2026-09-25 12:00,21.2,④リチウム蓄電池リサイクル設備導入事業（バリューチェーン）【令和７年度（補正予算）第４次公募及び令和８年度第３次公募】,全国,従業員数の制約なし,7297000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYkHMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYkHMAX
44,△,2026-09-25 12:00,21.2,⑤金属破砕・選別設備導入事業（バリューチェーン）【令和７年度（補正予算）第４次公募及び第８年度第３次公募】,全国,従業員数の制約なし,7297000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDYk0MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYk0MAH
45,○,2026-09-25 12:00,21.2,【令和７年度補正 グローバルサウス未来志向型共創等事業費補助金（ウクライナ復興支援に向けた欧州企業連携・中東欧諸国等連携強化）（FS実証・実証事業実施事業者の募集（補助））】,全国,従業員数の制約なし,0,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDczgMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDczgMAD
46,△,2026-09-25 12:00,21.2,令和7年度_産油国石油精製技術等対策事業費補助金（石油天然ガス権益・安定供給の確保に向けた資源国との関係強化支援事業のうち産油・産ガス国産業協力等事業に係るもの）_第5回公募,全国,従業員数の制約なし,340000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeNwMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeNwMAL
47,△,2026-09-25 12:00,21.2,令和7年度_資源国脱炭素化・エネルギー転換技術等支援事業費補助金_第5回公募,全国,従業員数の制約なし,660000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDeNSMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeNSMA1
48,△,2026-09-25 12:00,21.2,令和8年度_産油国石油精製技術等対策事業費補助金（石油天然ガス権益・安定供給の確保に向けた資源国との関係強化支援事業のうち産油・産ガス国産業協力等事業に係るもの）_第3回公募,全国,従業員数の制約なし,2900000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeO6MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeO6MAL
49,△,2026-09-25 12:00,21.2,令和8年度_資源国脱炭素化・エネルギー転換技術等支援事業費補助金_第3回公募,全国,従業員数の制約なし,1200000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDeO1MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeO1MAL
50,×,2026-09-25 17:00,21.4,【熊本県２次】令和8年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）,熊本県,300名以下,3000000,対象地域が熊本県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDeQhMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeQhMAL
51,△,2026-09-25 17:00,21.4,令和８年度「水力発電導入促進支援事業費補助金（事業性評価支援事業）」（新規事業　３次締切分）,全国,従業員数の制約なし,20000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDcODMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDcODMA1
52,△,2026-09-25 17:00,21.4,令和８年度外国商標出願費用助成事業（第２回）,東京都,300名以下,600000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDe3WMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe3WMAT
53,△,2026-09-25 17:00,21.4,令和８年度外国意匠出願費用助成事業（第２回）,東京都,300名以下,600000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDe3RMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe3RMAT
54,△,2026-09-28 17:00,24.4,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（19次締切）,全国,従業員数の制約なし,40000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDTzMMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDTzMMAX
55,△,2026-09-29 12:00,25.2,2026年度「木質バイオマス燃料等の安定的・効率的な供給・利用システム構築支援事業」の第２回公募,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdtWMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdtWMAT
56,△,2026-09-29 17:00,25.4,令和８年度　水力発電導入促進支援事業費補助金（既存設備有効活用強化支援事業）公募,全国,従業員数の制約なし,1474350000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYcpMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYcpMAH
57,△,2026-09-30 11:49,26.2,東京都商店街デジタル化推進事業費補助金,東京都,従業員数の制約なし,15000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdgEMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdgEMAT
58,△,2026-09-30 12:00,26.2,「GXイノベーション・エコシステム構築事業推進に向けたフロンティア領域の探索・重点支援のためのマネジメント手法の構築」の公募,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDcy9MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDcy9MAD
59,△,2026-09-30 12:00,26.2,「GX分野の大企業等のスタートアップ連携・調達加速化事業／市場創出及び本格調達・購買の実現可能性の検証（GX_CPP）」の公募,全国,従業員数の制約なし,0,補助金ではなく委託・調達型公募の可能性。受託要件を確認,公募種別,a0WJ200000CDdmLMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdmLMAT
60,△,2026-09-30 12:00,26.2,「ディープテック・スタートアップ支援基金／大企業等のスタートアップ連携・調達加速化事業／市場創出及び本格調達・購買の実現可能性の検証（CPP）」の公募,全国,従業員数の制約なし,0,補助金ではなく委託・調達型公募の可能性。受託要件を確認,公募種別,a0WJ200000CDdmGMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdmGMAT
61,△,2026-09-30 12:00,26.2,地域社会ＤＸ推進パッケージ事業（補助事業）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdjzMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdjzMAD
62,△,2026-09-30 16:00,26.4,【第２回】中東情勢による原材料価格高騰に伴う経営基盤安定化緊急対策事業,東京都,従業員数の制約なし,20000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDe9hMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe9hMAD
63,△,2026-09-30 16:00,26.4,令和8年度第2回 事業承継を契機とした成長支援事業(一般コース),東京都,従業員数の制約なし,8000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdsqMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdsqMAD
64,×,2026-09-30 17:00,26.4,「賃上げ環境整備補助金2026」,北海道,300名以下,3000000,対象地域が北海道で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYr0MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYr0MAH
65,△,2026-09-30 17:00,26.4,【令和７年度補正予算・令和８年度】二酸化炭素排出抑制対策事業費等補助金（クーリングシェルターの普及に向けた高効率空調導入支援事業（令和７年度補正予算三次公募・令和８年度二次公募））,全国,従業員数の制約なし,10000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdtgMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdtgMAD
66,△,2026-09-30 17:00,26.4,【令和７年度補正予算・令和８年度】二酸化炭素排出抑制対策事業費等補助金（テナントビルの省CO2改修支援事業（令和７年度補正三次公募・令和８年度二次公募））,全国,従業員数の制約なし,40000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdtvMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdtvMAD
67,△,2026-09-30 17:00,26.4,【令和７年度補正予算・令和８年度】二酸化炭素排出抑制対策事業費等補助金（ライフサイクルカーボン削減型の先導的な新築ZEB支援事業（令和７年度補正予算三次公募・令和８年度二次公募））,全国,従業員数の制約なし,500000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdtbMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdtbMAD
68,△,2026-09-30 17:00,26.4,【令和７年度補正予算・令和８年度】二酸化炭素排出抑制対策事業費等補助金（新築建築物のZEB普及促進支援事業/既存建築物のZEB化普及促進支援事業（令和７年度補正予算三次公募・令和８年度二次公募））,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdtRMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdtRMAT
69,△,2026-09-30 17:00,26.4,【令和７年度補正予算・令和８年度】二酸化炭素排出抑制対策事業費等補助金（民間建築物等における省CO2改修支援事業（令和７年度補正三次公募・令和８年度二次公募））,全国,従業員数の制約なし,35000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdtlMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdtlMAD
70,△,2026-09-30 17:00,26.4,【令和７年度補正予算・令和８年度】二酸化炭素排出抑制対策事業費等補助金（空き家等における省CO2改修支援事業（令和７年度補正三次公募・令和８年度二次公募））,全国,従業員数の制約なし,10000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdu0MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdu0MAD
71,△,2026-09-30 17:00,26.4,【令和８年度】サステナブル倉庫モデル促進事業（２次公募）,全国,従業員数の制約なし,100000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDbpvMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbpvMAD
72,△,2026-09-30 17:00,26.4,【令和８年度】フェーズフリーの省CO2独立型施設支援事業（２次公募）,全国,従業員数の制約なし,35000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDbq0MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbq0MAD
73,△,2026-09-30 17:00,26.4,【令和８年度】二酸化炭素排出抑制対策事業費等補助金（低炭素型建材活用新築ZEB支援事業）（二次公募）,全国,従業員数の制約なし,500000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDaT7MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDaT7MAL
74,△,2026-09-30 17:00,26.4,令和8年度 生放送字幕番組普及促進助成金（第３期）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W2x000004PhCHEA0,https://www.jgrants-portal.go.jp/subsidy/a0W2x000004PhCHEA0
75,×,2026-09-30 17:00,26.4,令和8年度　ふくいの逸品創造ファンド事業,福井県,300名以下,2000000,対象地域が福井県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDeF3MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeF3MAL
76,△,2026-09-30 17:00,26.4,令和8年度神奈川県小規模事業者デジタル化支援推進事業費補助金,神奈川県,20名以下,500000,神奈川県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYEIMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYEIMA5
77,△,2026-09-30 17:00,26.4,令和８年度経営統合等による産業力強化支援事業（単体枠）,東京都,従業員数の制約なし,300000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDeC7MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeC7MAL
